"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:11:17.9267979 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:11:17.9268168 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:11:17.9282404 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.9282986 PM","Explorer.EXE","9848","QueryRemoteProtocolInformation","D:\","INVALID PARAMETER",""
"9:11:17.9283090 PM","Explorer.EXE","9848","QueryDirectory","D:\","SUCCESS","FileInformationClass: FileIdBothDirectoryInformation, 1: System Volume Information, 2: confidential-memo.pdf, 3: hr-record.pdf, 4: test-document.txt"
"9:11:17.9291550 PM","Explorer.EXE","9848","QueryDirectory","D:\","NO MORE FILES","FileInformationClass: FileIdBothDirectoryInformation"
"9:11:17.9295261 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:11:18.2174756 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:18.2174983 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:11:18.2175072 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:11:18.9992219 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:18.9992478 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:11:18.9992580 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:11:18.9994472 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:18.9994666 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:11:18.9994760 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
